time,lat,lon,alt,yaw,pitch,roll,vx,vy,vz,v_speed,yaw_rate,pitch_rate,roll_rate,pos,rpm,torque,temp,err,steering_vel,uncorrect_yaw,beta,yaw_term,steering_spd,steering_acel
0 days 00:00:00,0.5694010141106776,-0.6553214574213116,0.5011703380954096,1.159213771133688,-0.09974686562384731,-0.6238281222687015,-2.6277691202736206,0.39480978907848646,0.43878746485872205,-2.6899624223856233,0.029493946892733235,-0.03227171614419562,0.06254627200311108,-2.4052137378258623e-05,0.0015989140459679594,2.9063851648237913,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.876598502863065,-0.17895723576118583,2.5552662438444125e-07,0.0015989140459679596,
0 days 00:00:00.100000,0.5694010141106776,-0.6553215158417975,0.5011703380954096,1.1592134662050444,-0.09949898036487939,-0.6242920417583492,-2.6272651239908416,0.39334090314358494,0.44507440384719066,-2.689716272317937,0.021094976182413787,-0.008100420246788115,0.06741780720994883,-2.4052137378258623e-05,0.0015989140459679594,2.9157523418224285,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8765988016446429,-0.17864606978413305,2.555500089770542e-07,0.0015989140459679596,0.0
0 days 00:00:00.200000,0.5694010141106776,-0.6553215742622837,0.5011703380954096,1.1592131612764016,-0.09925109510591149,-0.6247559612479969,-2.626761127708062,0.39187201720868337,0.45136134283565915,-2.689470122250251,0.012696005472094336,0.01607087565061939,0.0722893424167866,-2.4052137378258623e-05,0.0015989140459679594,2.850182663959175,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8765991004262201,-0.17802357006825065,2.5557339710573496e-07,0.0015989140459679596,0.0
0 days 00:00:00.300000,0.5694010141106776,-0.6553216911032559,0.5011703380954096,1.1592125514191152,-0.09875532458797566,-0.6256838002272922,-2.625753135142504,0.38893424533888027,0.4639352208125963,-2.688977822114879,0.04275547959323763,0.004043053768655848,0.07349562732514643,-2.4052137378258623e-05,0.0015989140459679594,2.897018268388757,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.876599697989375,-0.1770890656951343,5.112403761404804e-07,0.0015989140459679596,0.0
0 days 00:00:00.400000,0.5694010141106776,-0.6553216911032559,0.5011703380954096,1.1592125514191152,-0.09875532458797566,-0.6256838002272922,-2.625753135142504,0.38893424533888027,0.4639352208125963,-2.688977822114879,0.0029708814917244445,0.0024239238999299853,0.06403093035186162,-2.4052137378258623e-05,0.0015989140459679594,2.934486695819702,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.876599697989375,-0.17646589506084756,-0.0,0.0015989140459679596,0.0
0 days 00:00:00.500000,0.5694010141106776,-0.6553207564995434,0.5011703380954096,1.159162274706864,-0.09700975285349635,-0.6239767833434458,-2.6272091244038656,0.409498648427502,0.45555263549463826,-2.6911530470680605,0.0683944428142128,-0.006365638244581833,0.06551558870061219,-2.4052137378258623e-05,-0.004381494817101281,2.962587665688408,0.3444573176444595,-0.21963609764594202,-0.12943786328909768,-1.876648961171872,-0.18100820305873064,4.211265494974527e-05,-0.004381494817101282,-0.010988226631747923
0 days 00:00:00.600000,0.5694010141106776,-0.6553207564995434,0.5011703380954096,1.159162274706864,-0.09700975285349635,-0.6239767833434458,-2.6272091244038656,0.409498648427502,0.45555263549463826,-2.6911530470680605,-0.0032178337685109405,0.004043053768655848,0.06922723457248857,-2.4052137378258623e-05,-0.004381494817101281,2.9813217391220794,0.3444573176444595,-0.21963609764594202,-0.12943786328909768,-1.876648961171872,-0.1855505110566137,-0.0,-0.004381494817101282,0.0
0 days 00:00:00.700000,0.5694010141106776,-0.655320397636155,0.5009698425517319,1.1591545237150807,-0.09618785277965618,-0.6221494215970237,-2.6277691202736206,0.4080297624926004,0.45555263549463826,-2.6908370197748845,-0.01117475338881358,-0.000814335837521738,0.06514442411342455,-2.4052137378258623e-05,0.0015989140459679594,2.9438535922547366,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766565559111787,-0.18520358315510557,6.493129003696808e-06,0.0015989140459679596,0.010988226631747923
0 days 00:00:00.800000,0.5694010141106776,-0.655320397636155,0.5009698425517319,1.1591545237150807,-0.09618785277965618,-0.6221494215970237,-2.6277691202736206,0.4080297624926004,0.45555263549463826,-2.6908370197748845,-0.015595264288981715,-0.006596942511542673,0.06885606998530094,-2.4052137378258623e-05,0.0015989140459679594,2.948537040472254,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766565559111787,-0.1848566552535975,-0.0,0.0015989140459679596,0.0
0 days 00:00:00.900000,0.5694010141106776,-0.655320397636155,0.5009698425517319,1.1591545237150807,-0.09618785277965618,-0.6221494215970237,-2.6277691202736206,0.4080297624926004,0.45555263549463826,-2.6908370197748845,-0.020015775189149845,-0.012379549185563606,0.07256771585717733,-2.4052137378258623e-05,0.0015989140459679594,2.8782841949550857,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766565559111787,-0.1848566552535975,-0.0,0.0015989140459679596,0.0
0 days 00:00:01,0.5694010141106776,-0.655320397636155,0.5009698425517319,1.1591545237150807,-0.09618785277965618,-0.6221494215970237,-2.6277691202736206,0.4080297624926004,0.45555263549463826,-2.6908370197748845,-0.006312191398628633,0.00207696749948873,0.07210376012319278,-2.4052137378258623e-05,0.0015989140459679594,2.8314485905255036,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766565559111787,-0.1848566552535975,-0.0,0.0015989140459679596,0.0
